Name                    	Activity Cost    	Definition                      	Cost Center                     	
                        	(.руб)           	                                	                                	
________________________	_________________	________________________________	________________________________	

Сборка  и тестирование  	      758 420,00 	Сборка и тестирование настольных	Компоненты                      	
компьютеров             	                 	и портативных компьютеров       	                                	

                        	                 	                                	Рабочая сила                    	

                        	                 	                                	Управление                      	

Отслеживание расписания,	          500,00 	Просмотр заказов, установка     	Управление                      	
управление сборкой и    	                 	расписания выполнения заказов,  	                                	
тестированием           	                 	просмотр результатов            	                                	
                        	                 	тестирования, формирование групп	                                	
                        	                 	заказов на сборку и отгрузку    	                                	

Сборка  настольных      	       16 100,00 	Сборка настольных компьютеров в 	Компоненты                      	
компьютеров             	                 	соответствии с инструкциями и   	                                	
                        	                 	указаниями диспетчера           	                                	

                        	                 	                                	Рабочая сила                    	

Сборка ноутбуков        	       28 140,00 	Сборка ноутбуков в соответствии 	Компоненты                      	
                        	                 	с инструкциями и указаниями     	                                	
                        	                 	диспетчера                      	                                	

                        	                 	                                	Рабочая сила                    	

Тестирование компьютеров	           60,00 	Тестирование компьютеров и      	Рабочая сила                    	
                        	                 	компонентов. Замена неработающих	                                	
                        	                 	компонентов                     	                                	

